"Date","Type","Amount","Symbol","Value"
"2026-02-05T16:25:57.000Z","deposit","0.711332564","SOL",""
"2026-02-04T17:17:01.000Z","deposit","4.6","SOL",""
"2026-01-31T20:48:59.000Z","deposit","50.003789","PYUSD",""
"2026-01-31T20:40:22.000Z","deposit","0.17984219","SOL",""
"2026-01-31T18:10:57.000Z","withdraw","17.15","PYUSD",""
"2026-01-29T20:02:06.000Z","deposit","0.109886692","SOL",""
"2026-01-29T18:22:06.000Z","repay","8.649416","USDC",""
"2026-01-28T00:40:26.000Z","deposit","0.142779487","SOL",""
"2026-01-28T00:39:42.000Z","deposit","57.147142","PYUSD",""
"2026-01-16T19:45:51.000Z","deposit","0.128999999","SOL",""
"2025-12-20T16:32:14.000Z","deposit","0.467","SOL",""
"2025-11-21T15:12:48.000Z","deposit","1.03","SOL",""
"2025-11-21T15:11:21.000Z","repay","3.129796","USDC",""
"2025-11-13T18:25:52.000Z","repay","5.382741","USDC",""
"2025-11-06T15:06:49.000Z","repay","5.822126","USDC",""
"2025-10-29T18:46:10.000Z","withdraw","1.000000195","SOL",""
"2025-10-28T13:17:54.000Z","withdraw","3.000001291","SOL",""
"2025-10-11T11:44:33.000Z","deposit","0.814854772","SOL",""
"2025-10-11T11:43:14.000Z","borrow","150","USDC",""
"2025-09-25T12:34:44.000Z","deposit","0.5","SOL",""
"2025-09-25T12:33:20.000Z","borrow","100","USDC",""
"2025-09-12T14:46:05.000Z","repay","100.88411","USDC",""
"2025-09-12T14:43:42.000Z","withdraw","0.420000064","SOL",""
"2025-09-10T13:24:53.000Z","repay","100","USDC",""
"2025-09-10T13:24:53.000Z","withdraw","0.44846808","SOL",""
"2025-09-04T19:37:13.000Z","repay","150","USDC",""
"2025-09-04T19:37:13.000Z","withdraw","0.743211293","SOL",""
"2025-09-01T13:19:34.000Z","repay","102.3","USDC",""
"2025-09-01T13:18:50.000Z","repay","0.52","USDC",""
"2025-09-01T13:17:13.000Z","withdraw","0.520000311","SOL",""
"2025-07-25T15:03:50.000Z","deposit","0.566999999","SOL",""
"2025-07-25T15:02:24.000Z","borrow","110","USDC",""
"2025-06-20T18:01:19.000Z","deposit","0.8","SOL",""
"2025-06-20T17:58:19.000Z","borrow","110","USDC",""
"2025-06-12T14:09:39.000Z","deposit","0.6275","SOL",""
"2025-06-12T14:08:31.000Z","borrow","100","USDC",""
"2025-06-05T20:13:47.000Z","repay","576.217273","USDC",""
"2025-06-05T19:53:05.000Z","deposit","1.712367976","SOL",""
"2025-06-05T19:51:53.000Z","borrow","250","USDC",""
"2025-05-31T12:11:36.000Z","deposit","1.559999999","SOL",""
"2025-05-31T12:10:29.000Z","borrow","240","USDC",""
"2025-05-06T22:51:01.000Z","deposit","1.026","SOL",""
"2025-05-06T22:49:02.000Z","borrow","150","USDC",""
"2025-04-16T17:31:38.000Z","deposit","0.74","SOL",""
"2025-04-16T17:29:51.000Z","borrow","100","USDC",""
"2025-04-07T12:29:07.000Z","deposit","0.56","SOL",""
"2025-04-04T12:18:25.000Z","deposit","0.456","SOL",""
"2025-03-10T13:58:59.000Z","deposit","0.424","SOL",""
"2025-03-10T13:56:55.000Z","borrow","54","USDC",""
"2025-03-10T13:55:14.000Z","deposit","1.1","SOL",""
"2025-02-25T14:54:05.000Z","deposit","0.18","SOL",""
"2025-02-25T12:36:33.000Z","deposit","0.45","SOL",""
"2025-02-18T14:33:09.000Z","deposit","0.9","SOL",""
"2025-02-18T14:32:12.000Z","borrow","150","USDC",""
"2025-02-18T14:30:34.000Z","deposit","1.6577596","SOL",""
"2025-02-01T12:22:14.000Z","deposit","1.289901484","SOL",""
"2025-02-01T12:20:33.000Z","borrow","293.08851","USDC",""
"2025-02-01T12:16:36.000Z","create","0","",""
"2025-02-01T12:16:36.000Z","deposit","2","SOL",""
